"Device","Standard Name","Display Name","Units","Timestamp","Timezone","Value"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 14:00","undefined","33.88"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 14:15","undefined","33.29"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 14:30","undefined","33.48"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 14:45","undefined","33.43"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 15:00","undefined","32.48"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 15:15","undefined","32.75"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 15:30","undefined","31.19"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 15:45","undefined","31.95"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 16:00","undefined","30.71"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 16:15","undefined","31.54"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 16:30","undefined","31.77"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 16:45","undefined","33.15"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 17:00","undefined","32.01"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 17:15","undefined","32.98"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 17:30","undefined","31.74"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 17:45","undefined","32.18"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 18:00","undefined","32.29"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 18:15","undefined","32.62"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 18:30","undefined","31.97"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 18:45","undefined","32.26"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 19:00","undefined","32.13"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 19:15","undefined","32.74"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 19:30","undefined","33.05"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 19:45","undefined","32.9"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 20:00","undefined","32.62"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 20:15","undefined","32.77"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 20:30","undefined","32.46"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/01/15 20:45","undefined","31.67"
